Instance,AireRect,AirePoly,AireCirle,QualiteRect,TempsRect,QualiteCercle,TempsCercle
test-100.points,135366.03658536586,109583.5,123162.99839133426,0.23527754256220934,11279122,0.12391918848489292,9599910
test-1000.points,136832.12520189025,111151.5,145220.12041218817,0.23104164317971643,6474742,0.3065061687173649,956302
test-1001.points,137454.38885410145,108963.5,135917.8645649088,0.26147185850400767,4696509,0.24737058340553308,645362
test-1002.points,136089.12667327712,109474.0,125663.70614359173,0.24311824427057682,4235658,0.1478863122165237,575741
test-1003.points,141296.07160513522,110954.5,137227.90870145577,0.2734595857323068,14230501,0.23679444007638972,452850
test-1004.points,137312.0,111885.5,143872.37716379817,0.2272546487257061,3701814,0.2858893883818563,470891
test-1005.points,134190.0631826804,107935.5,137227.90870145577,0.24324307741827678,1719909,0.271388085490462,302758
test-1006.points,139364.25156404354,108717.0,145220.12041218817,0.2818993493569868,1264527,0.3357627639852845,302791
test-1007.points,133391.20265251995,107696.0,124410.21067480941,0.23859013011179564,1237961,0.15519806376104417,286450
test-1008.points,138988.05055762082,109976.5,160459.98637475228,0.2637977254924535,580266,0.45903885261626143,335056
test-1009.points,135579.1054313099,107693.0,141195.74022293967,0.2589407429573871,1523496,0.3110948736031094,409462
test-101.points,137128.99999999994,109569.5,145220.12041218817,0.2515252876028451,1076223,0.32536992878664384,318939
test-1010.points,142802.08221386358,112577.0,150673.9252588201,0.2684836353239435,1438459,0.3384077143539097,349008
test-1011.points,132386.7600000001,110039.0,124410.21067480941,0.203089450104055,570846,0.13060106575677177,215350
test-1012.points,141657.32316408804,111879.0,130740.51987179283,0.26616543912698587,878353,0.16858856328527105,342952
test-1013.points,141313.90001358505,111007.5,159043.12808798326,0.2730121839838304,1218137,0.4327241680785827,307178
test-1014.points,139198.40773286464,110921.5,125663.70614359173,0.25492720286747517,1612190,0.1329066605084832,309722
test-1015.points,131649.00889724944,107368.5,118236.98111050545,0.22614182835048857,1269317,0.1012259751277651,341482
test-1016.points,136168.4596340151,108148.0,124410.21067480941,0.2590936460592439,1957386,0.15036996222592558,345200
test-1017.points,136576.27722772284,107632.5,121922.06929316626,0.26891298843493217,429388,0.13276258837401578,252313
test-1018.points,136012.46180726663,107369.5,190116.62102463993,0.26677000272206386,935394,0.7706762257870245,421530
test-1019.points,139469.6191819464,110937.0,149301.04926920132,0.2571965997092618,940868,0.3458183407627873,470863
test-102.points,140214.50577603147,111261.0,135917.8645649088,0.2602305010383825,746617,0.22161282538273808,339144
test-1020.points,138910.3365112085,111223.0,145220.12041218817,0.24893535070271877,838529,0.3056662777679813,218679
test-1021.points,137964.30309173834,109816.5,139866.84653047117,0.2563167018775716,491535,0.2736414521540129,191265
test-1022.points,143522.77444094967,110091.5,191665.42620285967,0.3036680801056364,797992,0.7409647993065738,275640
test-1023.points,136011.88778280542,108737.0,138544.23602330987,0.2508335505191923,902610,0.2741222952933213,278732
test-1024.points,139390.4321532065,109353.5,125663.70614359173,0.27467737341014686,703875,0.14915120360657608,263838
test-1025.points,139429.38295081965,110922.5,137227.90870145577,0.2569982010035805,510779,0.2371512425473261,284407
test-1026.points,132341.6327503973,108425.0,152053.084433746,0.22058227115884055,690660,0.4023803037467928,267603
test-1027.points,138927.6,111200.0,152053.084433746,0.2493489208633095,882988,0.3673838528214568,304604
test-1028.points,138383.2514522822,107918.5,149301.04926920132,0.28229405942708796,619918,0.3834611236182983,267556
